
> trade-imports-animals-frontend@0.0.0 format
src/server/app/sets/live-animals/journeys/linear/features/commodities/animal-identification/identifier/fields.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/animal-identification/identifier/table.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/animal-identification/records/append.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/animal-identification/remove/post-remove.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/animal-identification/summary/selected-commodities.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/animal-identification/summary/selected-commodities.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/consignment-details/consignment-details.controller.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/consignment-details/consignment-details.controller.test.js 5ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/consignment-details/fields.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/consignment-details/lines.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/consignment-details/remove/actions.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/consignment-details/remove/post-remove.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/consignment-details/validation/count-drop.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/consignment-details/view-model/groups.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/consignment-details/view-model/selected-rows.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/consignment-details/view-model/selected-rows.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/consignment-details/view-model/values.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/copy/copy.cy.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/copy/copy.en.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/copy/copy.test.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/evaluation.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/evaluation.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/fit/consignment-details.fit.spec.js 4ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/fit/identification.fit.spec.js 9ms
src/server/app/sets/live-animals/journeys/linear/features/commodities/fit/search.fit.spec.js 4ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/search/actions/commit-selection.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/search/matching.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/search/matching.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/search/search.controller.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/search/search.controller.test.js 4ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/search/selection/keys.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/search/selection/line-key.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/search/selection/selected-keys.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/search/view-model/commodity-groups.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/search/view-model/legend.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/search/view-model/selected-summary.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/search/view-model/species-label.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/search/view-model/species-label.test.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/confirmation/confirmation.fit.spec.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/confirmation/controller.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/confirmation/controller.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/confirmation/copy/copy.cy.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/confirmation/copy/copy.en.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/confirmation/copy/copy.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/confirmation/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/contact/contact.fit.spec.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/contact/controller.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/contact/controller.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/contact/copy/copy.cy.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/contact/copy/copy.en.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/contact/copy/copy.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/contact/evaluation.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/contact/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/cph-number/controller.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/cph-number/controller.test.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/cph-number/copy/copy.cy.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/cph-number/copy/copy.en.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/cph-number/copy/copy.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/cph-number/cph-number.fit.spec.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/cph-number/evaluation.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/cph-number/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/dashboard/controller.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/dashboard/controller.test.js 6ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/dashboard/copy/copy.cy.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/dashboard/copy/copy.en.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/dashboard/copy/copy.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/dashboard/dashboard.fit.spec.js 5ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/dashboard/notification-helper.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/dashboard/notification-helper.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/dashboard/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/dashboard/view-model/row/actions.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/dashboard/view-model/row/index.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/dashboard/view-model/sort-options.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/declaration/controller.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/declaration/controller.test.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/declaration/copy/copy.cy.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/declaration/copy/copy.en.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/declaration/copy/copy.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/declaration/declaration.fit.spec.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/declaration/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/delete-notification/controller.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/delete-notification/controller.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/delete-notification/copy/copy.cy.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/delete-notification/copy/copy.en.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/delete-notification/copy/copy.test.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/delete-notification/delete-notification.fit.spec.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/destination-country/controller.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/destination-country/copy/copy.cy.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/destination-country/copy/copy.en.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/destination-country/copy/copy.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/destination-country/destination-country.fit.spec.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/destination-country/evaluation.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/destination-country/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/client/dom.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/client/index.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/client/oversize-validation/error-summary.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/client/oversize-validation/field-error.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/client/oversize-validation/markers.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/client/oversize-validation/submit.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/client/scan-status/announce.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/client/scan-status/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/client/scan-status/poll.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/client/scan-status/status-cell.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/contracts/documents-added-anchor.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/contracts/max-documents.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/contracts/remove-action.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/contracts/upload-id.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/controller.js 4ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/controller.test.js 8ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/copy/copy.cy.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/copy/copy.en.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/copy/copy.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/derive-document-type.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/derive-document-type.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/download-content-type.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/download-content-type.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/evaluation.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/fit/scan-status.fit.spec.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/fit/upload.fit.spec.js 5ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/form/errors.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/form/payload.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/handlers/load-page.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/handlers/reads/download.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/scan-poll.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/scan-poll.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/scan/status.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/scan/summary-errors.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/upload-config.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/upload-config.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/view-model/fragments/status.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/view-model/fragments/text.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/view-model/refresh.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/view-model/render.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/documents/view-model/rows.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/evaluation.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/exit-date/controller.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/exit-date/copy/copy.cy.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/exit-date/copy/copy.en.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/exit-date/copy/copy.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/exit-date/evaluation.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/exit-date/exit-date.fit.spec.js 3ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/exit-date/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/hub/controller.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/hub/copy/copy.cy.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/hub/copy/copy.en.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/hub/copy/copy.test.js 3ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/hub/hub.fit.spec.js 4ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/import-purpose/controller.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/import-purpose/controller.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/import-purpose/copy/copy.cy.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/import-purpose/copy/copy.en.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/import-purpose/copy/copy.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/import-purpose/evaluation.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/import-purpose/import-purpose.fit.spec.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/import-purpose/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/import-reason/controller.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/import-reason/controller.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/import-reason/copy/copy.cy.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/import-reason/copy/copy.en.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/import-reason/copy/copy.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/import-reason/evaluation.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/import-reason/import-reason.fit.spec.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/import-reason/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/index.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/journey-strip.test.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/notification-actions/controller.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/notification-actions/controller.test.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/notification-actions/notification-actions.fit.spec.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/origin/controller.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/origin/controller.test.js 3ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/origin/copy/copy.cy.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/origin/copy/copy.en.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/origin/copy/copy.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/origin/evaluation.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/origin/origin.fit.spec.js 7ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/origin/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/port-of-exit/controller.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/port-of-exit/copy/copy.cy.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/port-of-exit/copy/copy.en.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/port-of-exit/copy/copy.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/port-of-exit/evaluation.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/port-of-exit/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/port-of-exit/port-of-exit.fit.spec.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/request-view.parity.test.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/save-actions.test.js 3ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/section-caption.fit.spec.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/section-caption.test.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/service-navigation.fit.spec.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/system/evaluation.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/transport/copy/copy.cy.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/transport/copy/copy.en.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/transport/copy/copy.test.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/transport/evaluation.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/transport/fit/arrival-transit.fit.spec.js 8ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/transport/fit/transporters.fit.spec.js 5ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/transport/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/transport/port-of-entry/arrival-window.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/transport/port-of-entry/arrival-window.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/transport/port-of-entry/port-of-entry.controller.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/transport/port-of-entry/port-of-entry.controller.test.js 3ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/transport/private-transporter-details/private-transporter-details.controller.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/transport/transit-countries/transit-countries.controller.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/transport/transit-countries/transit-countries.controller.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/transport/transporters-select/transporters-select.controller.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/transport/transporters/transporters.controller.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/fixtures/characterisation-corpus.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/dispatch.test.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/entry-guard.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/flow-reachability.test.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/flow.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/gates.test.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/opening-run.test.js 5ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/reachability-fixtures/enumerate-answer-states.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/reachability-fixtures/scope-states.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/reachability-fixtures/seeds.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/run.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/run.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/section-captions/copy/copy.cy.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/section-captions/copy/copy.en.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/section-captions/copy/copy.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/section-captions/index.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/section-captions/section-captions.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/simulate.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/status.test.js 3ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/task-rows.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/task-rows.test.js 3ms (unchanged)
src/server/app/sets/live-animals/obligations/coverage.test.js 2ms (unchanged)
src/server/app/sets/live-animals/obligations/index.js 1ms (unchanged)
src/server/app/sets/live-animals/obligations/sections/arrival.js 0ms (unchanged)
src/server/app/sets/live-animals/obligations/sections/commodities/aggregates.js 1ms (unchanged)
src/server/app/sets/live-animals/obligations/sections/commodities/identifiers.js 2ms (unchanged)
src/server/app/sets/live-animals/obligations/sections/commodities/lines.js 1ms (unchanged)
src/server/app/sets/live-animals/obligations/sections/documents.js 1ms (unchanged)
src/server/app/sets/live-animals/obligations/sections/import-reason.js 1ms (unchanged)
src/server/app/sets/live-animals/obligations/sections/misc.js 0ms (unchanged)
src/server/app/sets/live-animals/obligations/sections/origin.js 0ms (unchanged)
src/server/app/sets/live-animals/obligations/sections/parties.js 0ms (unchanged)
src/server/app/sets/live-animals/obligations/sections/system.js 0ms (unchanged)
src/server/app/sets/live-animals/obligations/sections/transport.js 1ms (unchanged)
src/server/app/sets/live-animals/obligations/whitelists.test.js 2ms (unchanged)
src/server/app/sets/live-animals/services/commodities/index.js 1ms (unchanged)
src/server/app/sets/live-animals/services/commodities/index.test.js 1ms (unchanged)
src/server/app/sets/live-animals/services/commodities/stub.js 1ms (unchanged)
src/server/app/shared/copy-leaves.js 1ms (unchanged)
src/server/app/shared/copy.cy.js 1ms (unchanged)
src/server/app/shared/copy.en.js 1ms (unchanged)
src/server/app/shared/copy.js 0ms (unchanged)
src/server/app/shared/copy.test.js 1ms (unchanged)
src/server/app/shared/kit.js 3ms (unchanged)
src/server/app/shared/kit.test.js 1ms (unchanged)
src/server/app/shared/layout.test.js 2ms (unchanged)
src/server/app/shared/paths.js 1ms (unchanged)
src/server/app/shared/save-actions.test.js 1ms (unchanged)
src/server/app/shared/section-caption.test.js 1ms (unchanged)
src/server/app/store-ops.test.js 6ms (unchanged)
src/server/auth/controller.js 2ms (unchanged)
src/server/auth/controller.test.js 1ms (unchanged)
src/server/auth/index.js 1ms (unchanged)
src/server/auth/stub-sign-in.js 1ms (unchanged)
src/server/auth/stub-sign-in.test.js 1ms (unchanged)
src/server/common/constants/status-codes.js 0ms (unchanged)
src/server/common/helpers/actor-helpers.js 1ms (unchanged)
src/server/common/helpers/actor-helpers.test.js 1ms (unchanged)
src/server/common/helpers/content-security-policy.js 1ms (unchanged)
src/server/common/helpers/content-security-policy.test.js 1ms (unchanged)
src/server/common/helpers/errors.js 2ms (unchanged)
src/server/common/helpers/errors.test.js 6ms (unchanged)
src/server/common/helpers/logging/logger-options.js 1ms (unchanged)
src/server/common/helpers/logging/logger.js 0ms (unchanged)
src/server/common/helpers/logging/request-logger.js 0ms (unchanged)
src/server/common/helpers/organisation-id.js 0ms (unchanged)
src/server/common/helpers/proxy/setup-proxy.js 0ms (unchanged)
src/server/common/helpers/proxy/setup-proxy.test.js 1ms (unchanged)
src/server/common/helpers/pulse.js 0ms (unchanged)
src/server/common/helpers/redis-client.js 1ms (unchanged)
src/server/common/helpers/redis-client.test.js 1ms (unchanged)
src/server/common/helpers/request-tracing.js 0ms (unchanged)
src/server/common/helpers/serve-static-files.js 1ms (unchanged)
src/server/common/helpers/serve-static-files.test.js 1ms (unchanged)
src/server/common/helpers/session-cache/cache-engine.js 0ms (unchanged)
src/server/common/helpers/session-cache/cache-engine.test.js 1ms (unchanged)
src/server/common/helpers/session-cache/session-cache.js 0ms (unchanged)
src/server/common/helpers/start-server.js 0ms (unchanged)
src/server/common/helpers/start-server.test.js 1ms (unchanged)
src/server/common/helpers/transport-routing.js 0ms (unchanged)
src/server/common/helpers/transport-routing.test.js 1ms (unchanged)
src/server/common/services/mode.js 0ms (unchanged)
src/server/common/services/mode.test.js 1ms (unchanged)
src/server/common/test-helpers/mock-auth-config.js 1ms (unchanged)
src/server/common/test-helpers/mock-oidc-config.js 0ms (unchanged)
src/server/health/controller.js 0ms (unchanged)
src/server/health/controller.test.js 1ms (unchanged)
src/server/health/index.js 0ms (unchanged)
src/server/router.js 0ms (unchanged)
src/server/server.js 1ms (unchanged)
src/server/signout/controller.js 0ms (unchanged)
src/server/signout/controller.test.js 1ms (unchanged)
src/server/signout/index.js 1ms (unchanged)
.claude/settings.json 1ms (unchanged)
.dependency-cruiser-known-violations.json 1ms (unchanged)
.dependency-cruiser.cjs 2ms (unchanged)
.mcp.json 0ms (unchanged)
.prettierrc.js 0ms (unchanged)
.sonarlint/connectedMode.json 0ms (unchanged)
.vite/setup-files.js 0ms (unchanged)
babel.config.cjs 0ms (unchanged)
eslint.config.js 1ms (unchanged)
fit/journey-smoke.fit.spec.js 3ms (unchanged)
fit/live-animals-journey.js 5ms (unchanged)
fit/sign-in.js 0ms (unchanged)
lighthouserc.cjs 1ms (unchanged)
nodemon.json 0ms (unchanged)
package.json 1ms (unchanged)
playwright.config.js 1ms (unchanged)
postcss.config.js 0ms (unchanged)
README.md 40ms (unchanged)
scripts/check-workspace-stack.js 1ms (unchanged)
scripts/lighthouse/audit-targets.js 3ms (unchanged)
scripts/lighthouse/audit-targets.test.js 3ms (unchanged)
scripts/lighthouse/flag-simple-findings.cjs 1ms (unchanged)
scripts/lighthouse/journey-client.js 1ms (unchanged)
scripts/lighthouse/run-audit.js 1ms (unchanged)
scripts/lighthouse/seed-address-book.js 1ms (unchanged)
scripts/lighthouse/seed-audit-targets.js 1ms (unchanged)
scripts/lighthouse/seed-notification.js 3ms (unchanged)
scripts/npm-version.js 1ms (unchanged)
src/server/app/docs/analysis.md 2ms (unchanged)
src/server/app/docs/architecture.md 5ms (unchanged)
src/server/app/docs/cardinality.md 2ms (unchanged)
src/server/app/docs/decisions.md 2ms (unchanged)
src/server/app/docs/engine.md 3ms (unchanged)
src/server/app/docs/flow-and-gates.md 3ms (unchanged)
src/server/app/docs/limits.md 3ms (unchanged)
src/server/app/docs/obligation-model.md 3ms (unchanged)
src/server/app/docs/persistence.md 4ms (unchanged)
src/server/app/docs/README.md 3ms (unchanged)
src/server/app/docs/scope-and-wipe.md 2ms (unchanged)
src/server/app/docs/services.md 2ms (unchanged)
src/server/app/docs/test-ownership.md 3ms (unchanged)
src/server/app/docs/testing.md 2ms (unchanged)
src/server/app/docs/validation.md 4ms (unchanged)
src/server/app/services/_capture/fixtures/countries-origin.json 1ms (unchanged)
src/server/app/services/_capture/fixtures/countries.json 1ms (unchanged)
src/server/app/services/_capture/fixtures/ports-of-entry.json 1ms (unchanged)
src/server/app/sets/live-animals/docs/add-a-collection.md 16ms (unchanged)
